211;0801;0801000000;0
Lab. 1 KL FAMO;0801;0801000000;0
572;0801;0801000000;0
SP;0801;0801000000;0
234;0801;0801000000;0
KR 40;0802;0802000000;0
KR 31;0802;0802000000;0
524;0801;0801000000;0
115;0801;0801000000;0
402;0801;0801000000;0
120;0801;0801000000;0
480;0801;0801000000;0
305;0801;0801000000;0
414;0801;0801000000;0
605;0801;0801000000;0
557B;0801;0801000000;0
KR 12;0802;0802000000;0
383;0801;0801000000;0
486;0801;0801000000;0
396A;0801;0801000000;0
527;0801;0801000000;0
257;0801;0801000000;0
266;0801;0801000000;0
459;0801;0801000000;0
228;0801;0801000000;0
536;0801;0801000000;0
204;0801;0801000000;0
0.18 COK;0801;0801000000;0
526;0801;0801000000;0
262;0801;0801000000;0
396D;0801;0801000000;0
315;0801;0801000000;0
282;0801;0801000000;0
KAA 22a;0802;0802000000;0
555;0801;0801000000;0
369;0801;0801000000;0
584;0801;0801000000;0
351;0801;0801000000;0
581;0801;0801000000;0
25A KAA;0802;0802000000;0
412;0801;0801000000;0
312;0801;0801000000;0
15 SP;0806;0806000000;0
569;0801;0801000000;0
COK 2.20;0801;0801000000;0
KR 47;0802;0802000000;0
358;0801;0801000000;0
258;0801;0801000000;0
216;0801;0801000000;0
311;0801;0801000000;0
434;0801;0801000000;0
10 SP;0806;0806000000;0
603;0801;0801000000;0
KR 110;0802;0802000000;0
KAA 24;0802;0802000000;0
Lab. III KL FAMO;0801;0801000000;0
214A;0801;0801000000;0
KAA 26B;0802;0802000000;0
469;0801;0801000000;0
1.08 COK;0801;0801000000;0
344;0801;0801000000;0
397;0801;0801000000;0
KAA 21b;0802;0802000000;0
559;0801;0801000000;0
456;0801;0801000000;0
583;0801;0801000000;0
478B;0801;0801000000;0
2.02 COK;0801;0801000000;0
585;0801;0801000000;0
457;0801;0801000000;0
568;0801;0801000000;0
570;0801;0801000000;0
483;0801;0801000000;0
KR 34;0802;0802000000;0
485;0801;0801000000;0
467;0801;0801000000;0
339;0801;0801000000;0
521A;0801;0801000000;0
207;0801;0801000000;0
443;0801;0801000000;0
479;0801;0801000000;0
455;0801;0801000000;0
218;0801;0801000000;0
0.21 COK;0801;0801000000;0
SP 11;0806;0806000000;0
0.11;0801;0801000000;0
KAA 25c;0802;0802000000;0
429;0801;0801000000;0
KAA 25A;0802;0802000000;0
301;0801;0801000000;0
KR 35;0802;0802000000;0
KR 36;0802;0802000000;0
529;0801;0801000000;0
530;0801;0801000000;0
316;0801;0801000000;0
504;0801;0801000000;0
KR 42;0802;0802000000;0
KAA 23;0802;0802000000;0
330;0801;0801000000;0
214;0801;0801000000;0
269;0801;0801000000;0
558;0801;0801000000;0
6 SP;0806;0806000000;0
272;0801;0801000000;0
273;0801 ;0801000000;0
KR 32;0802;0802000000;0
322;0801 ;0801000000;0
477a;0801 ;0801000000;0
259;0801 ;0801000000;0
472;0801 ;0801000000;0
236;0801 ;0801000000;0
460;0801 ;0801000000;0
KAA 16;0802;0802000000;0
KAA 18;0802;0802000000;0
573;0801 ;0801000000;0
461;0801 ;0801000000;0
285;0801 ;0801000000;0
22c;0801 ;0801000000;0
374;0801 ;0801000000;0
481;0801 ;0801000000;0
KR 11;0802;0802000000;0
KAA 21A;0802;0802000000;0
KR 37;0802;0802000000;0
557A;0801;0801000000;0
365;0801;0801000000;0
KR 41;0802;0802000000;0
482;0801;0801000000;0
574;0801;0801000000;0
215;0801;0801000000;0
352;0801;0801000000;0
442;0801;0801000000;0
560;0801;0801000000;0
571;0801;0801000000;0
401;0801;0801000000;0
KR 39;0802;0802000000;0
375;0801;0801000000;0
KR 38;0802;0802000000;0
Laboratorium III;0801;0801000000;0
462;0801;0801000000;0
478A;0801;0801000000;0
582;0801;0801000000;0
26C;0801;0801000000;0
0.19 COK;0801;0801000000;0
202;0801;0801000000;0
537;0801;0801000000;0
109;0801;0801000000;0
KR 46;0802;0802000000;0
KR 33;0802;0802000000;0
KAA 19;0802;0802000000;0
217;0801;0801000000;0
KAA 26a;0802;0802000000;0
525;0801;0801000000;0
8 SP;0806;0806000000;0
0.24 COK;0801;0801000000;0
501;0801;0801000000;0
421;0801;0801000000;0
KR 112;0802;0802000000;0
1.23 COK;0801;0801000000;0
Lab.1 KL FAMO;0801;0801000000;0
331;0801;0801000000;0
556;0801;0801000000;0
260;0801;0801000000;0
261;0801;0801000000;0
477b;0801;0801000000;0
577;0801;0801000000;0
355;0801;0801000000;0
309;0801;0801000000;0
16 SP;0806;0806000000;0
471;0801;0801000000;0
470;0801;0801000000;0
